data_noise_seed,source_timestep,reverse_step,k_timestep,k_minus_1_timestep,d_k,d_k_minus_1,R_k,initial_zero_deviation,action_elements
0,95,1,95,94,0.0,0.01777908205986023,17779082059.86023,1,2048
0,95,2,94,93,0.01777908205986023,0.03253217786550522,1.8298007599123018,0,2048
0,95,3,93,92,0.03253217786550522,0.045248743146657944,1.3908919142251945,0,2048
0,95,4,92,91,0.045248743146657944,0.056396834552288055,1.2463735040827788,0,2048
0,95,5,91,90,0.056396834552288055,0.06633365899324417,1.176194719414031,0,2048
0,95,6,90,89,0.06633365899324417,0.07533499598503113,1.1356978813963512,0,2048
0,95,7,89,88,0.07533499598503113,0.08355069160461426,1.109055499519858,0,2048
0,95,8,88,87,0.08355069160461426,0.09113333374261856,1.0907549894715027,0,2048
0,95,9,87,86,0.09113333374261856,0.09820057451725006,1.077548362199867,0,2048
0,95,10,86,85,0.09820057451725006,0.10481615364551544,1.067368028748507,0,2048
0,95,11,85,84,0.10481615364551544,0.11102622002363205,1.0592472263202826,0,2048
0,95,12,84,83,0.11102622002363205,0.11687532067298889,1.0526821560443935,0,2048
0,95,13,83,82,0.11687532067298889,0.12239991128444672,1.0472690947806516,0,2048
0,95,14,82,81,0.12239991128444672,0.12762810289859772,1.042714014726354,0,2048
0,95,15,81,80,0.12762810289859772,0.1326097846031189,1.0390327959935295,0,2048
0,95,16,80,79,0.1326097846031189,0.13736531138420105,1.0358610550064526,0,2048
0,65,1,65,64,0.0,0.004274565260857344,4274565260.8573437,1,2048
0,65,2,64,63,0.004274565260857344,0.008457254618406296,1.978506374407658,0,2048
0,65,3,63,62,0.008457254618406296,0.012560101225972176,1.4851274782659791,0,2048
0,65,4,62,61,0.012560101225972176,0.016594205051660538,1.3211840216721606,0,2048
0,65,5,61,60,0.016594205051660538,0.020568586885929108,1.2395042016569129,0,2048
0,65,6,60,59,0.020568586885929108,0.024487383663654327,1.1905233839479528,0,2048
0,65,7,59,58,0.024487383663654327,0.028336383402347565,1.1571829718684474,0,2048
0,65,8,58,57,0.028336383402347565,0.03210889548063278,1.1331331533592797,0,2048
0,65,9,57,56,0.03210889548063278,0.0358111709356308,1.1153037312079397,0,2048
0,65,10,56,55,0.0358111709356308,0.03944835439324379,1.1015656109946566,0,2048
0,65,11,55,54,0.03944835439324379,0.04300948977470398,1.0902733570295602,0,2048
0,65,12,54,53,0.04300948977470398,0.046496547758579254,1.0810764787273788,0,2048
0,65,13,53,52,0.046496547758579254,0.049932438880205154,1.0738956177648271,0,2048
0,65,14,52,51,0.049932438880205154,0.05332794412970543,1.068001990781555,0,2048
0,65,15,51,50,0.05332794412970543,0.0566629059612751,1.0625368535189688,0,2048
0,65,16,50,49,0.0566629059612751,0.05992419272661209,1.0575559390919393,0,2048
0,35,1,35,34,0.0,0.004588809795677662,4588809795.677662,1,2048
0,35,2,34,33,0.004588809795677662,0.009144962765276432,1.9928833772751844,0,2048
0,35,3,33,32,0.009144962765276432,0.013662757351994514,1.4940200087394777,0,2048
0,35,4,32,31,0.013662757351994514,0.018135175108909607,1.3273437155007994,0,2048
0,35,5,31,30,0.018135175108909607,0.022557128220796585,1.2438329425598262,0,2048
0,35,6,30,29,0.022557128220796585,0.026930710300803185,1.1938891349999279,0,2048
0,35,7,29,28,0.026930710300803185,0.03125498443841934,1.1605703707089605,0,2048
0,35,8,28,27,0.03125498443841934,0.035527363419532776,1.136694324337114,0,2048
0,35,9,27,26,0.035527363419532776,0.039745040237903595,1.1187162910865838,0,2048
0,35,10,26,25,0.039745040237903595,0.04391637071967125,1.1049522268865295,0,2048
0,35,11,25,24,0.04391637071967125,0.048036009073257446,1.093806439033613,0,2048
0,35,12,24,23,0.048036009073257446,0.052100129425525665,1.0846057037125132,0,2048
0,35,13,23,22,0.052100129425525665,0.05610891804099083,1.0769439281358901,0,2048
0,35,14,22,21,0.05610891804099083,0.06007298082113266,1.070649424681032,0,2048
0,35,15,21,20,0.06007298082113266,0.06398430466651917,1.065109534949953,0,2048
0,35,16,20,19,0.06398430466651917,0.06783966720104218,1.0602548164515748,0,2048
1,95,1,95,94,0.0,0.018272649496793747,18272649496.793747,1,2048
1,95,2,94,93,0.018272649496793747,0.033387333154678345,1.8271752631554368,0,2048
1,95,3,93,92,0.033387333154678345,0.0464051254093647,1.3899021282408823,0,2048
1,95,4,92,91,0.0464051254093647,0.05785219371318817,1.2466768099772605,0,2048
1,95,5,91,90,0.05785219371318817,0.06809158623218536,1.1769922946843414,0,2048
1,95,6,90,89,0.06809158623218536,0.07737608253955841,1.1363530623971294,0,2048
1,95,7,89,88,0.07737608253955841,0.0858745276927948,1.1098329725827323,0,2048
1,95,8,88,87,0.0858745276927948,0.09373076260089874,1.0914850435639907,0,2048
1,95,9,87,86,0.09373076260089874,0.10108266770839691,1.0784364162033313,0,2048
1,95,10,86,85,0.10108266770839691,0.10799122601747513,1.0683456270459706,0,2048
